604,1132,,
340,544,32,32
340,500,144,96
316,480,64,48
324,460,32,32
276,356,16,16
320,344,192,80
304,344,128,112
348,332,64,64
248,336,256,240
304,296,96,48
320,280,320,160
336,272,32,32
292,276,240,144
432,204,256,128
264,200,16,16
284,184,32,32
296,172,32,32
416,168,144,128
284,164,16,16
444,160,16,16
380,160,512,384
332,176,960,512
416,148,144,128
304,148,32,32
356,144,16,16
340,148,96,80
292,144,16,16
408,136,320,240
308,136,144,64
392,160,6688,3952
424,116,16,16
372,112,32,32
400,108,32,32
388,108,32,32
312,100,144,64
396,96,64,48
340,112,1936,800
404,88,32,32
352,76,160,128
284,76,16,16
292,56,16,16
